to,pcts,icds,urban,id,from
19898,JP1-KTP-RKR-006,8110140834,FALSE,30342,19898
19900,JP1-KTP-RMG-005,8110140129,FALSE,30344,19900
29115,JP1-KTP-BAS-010,8110141220,FALSE,30529,19988
29115,JP1-KTP-BAS-007,8110141215,FALSE,30524,19988
19990,JP1-KTP-BAS-004,8110141217,FALSE,30527,19990
19989,JP1-KTP-NNG-003,8110141218,FALSE,30528,19989
29115,JP1-KTP-BAS-009,8110141222,FALSE,30525,19988
29115,JP1-KTP-BAS-001,8110141216,FALSE,30526,19988
19994,JP1-KTP-NNG-004,8110140603,FALSE,30537,19994
19996,JP1-KTP-NNG-002,8110140605,FALSE,30536,19996
19995,JP1-KTP-NNG-008,8110140602,FALSE,30539,19995
19995,JP1-KTP-NNG-005,8110140601,FALSE,30540,19995
19897,JP1-KTP-RKR-003,8110140829,FALSE,30340,19897
19897,JP1-KTP-RKR-002,8110140828,FALSE,30339,19897
19897,JP1-KTP-RKR-001,8110140827,FALSE,30335,19897
20005,JP1-KTP-KYN-004,8110141225,FALSE,30565,20005
20006,JP1-KTP-KYN-003,8110141227,FALSE,85127,20006
20005,JP1-KTP-KYN-001,8110141224,FALSE,30567,20005
20005,JP1-KTP-KYN-002,8110141226,FALSE,30563,20005
20004,JP1-KTP-PUT-004,8110140613,FALSE,30566,20004
20007,JP1-KTP-PUT-005,8110141228,FALSE,30569,20007
20004,JP1-KTP-PUT-001,8110140625,FALSE,30561,20004
20007,JP1-KTP-PUT-002,8110141229,FALSE,30571,20007
20004,JP1-KTP-PUT-003,8110140612,FALSE,30562,20004
19914,JP1-KTP-BNK-001,8110140637,FALSE,30372,19914
19914,JP1-KTP-BNK-004,8120082014,FALSE,30373,19914
19917,JP1-KTP-CHM-006,8110140131,FALSE,30375,19917
19918,JP1-KTP-CHM-003,8110140132,FALSE,30377,19918
19917,JP1-KTP-CHM-004,8110140133,FALSE,30379,19917
44569,JP1-KTP-CHO-006,8110140123,FALSE,30452,44569
19916,JP1-KTP-CHM-002,8110140121,FALSE,30374,19916
19916,JP1-KTP-CHM-001,8110140120,FALSE,30376,19916
19915,JP1-KTP-JSN-002,8110140407,FALSE,30378,19915
19920,JP1-KTP-JSN-003,8110140408,FALSE,30381,19920
19479,JP1-KTP-JSN-001,8110140406,FALSE,30382,19479
19832,JP1-KTP-RMS-002,8110140609,FALSE,30383,19832
19923,JP1-KTP-KHR-003,8110140623,FALSE,30384,19923
19921,JP1-KTP-BNK-003,8110140624,FALSE,30389,19921
19939,JP1-KTP-BNA-002,8110140107,FALSE,30416,19939
19938,JP1-KTP-BNA-003,8110140105,FALSE,30414,19938
19940,JP1-KTP-CHH-001,8110140112,FALSE,30417,19940
19945,JP1-KTP-KSH-002,8110140432,FALSE,30428,19945
19945,JP1-KTP-KSH-001,8110140431,FALSE,30430,19945
19946,JP1-KTP-KSH-004,8110140434,FALSE,30431,19946
19947,JP1-KTP-KSH-006,8110140435,FALSE,30433,19947
19947,JP1-KTP-KSH-003,8110140436,FALSE,30429,19947
19946,JP1-KTP-KSH-005,8110140433,FALSE,30432,19946
19949,JP1-KTP-SNG-002,8110140440,FALSE,30438,19949
19950,JP1-KTP-MOL-001,8110140441,FALSE,30437,19950
19950,JP1-KTP-MOL-003,8110140442,FALSE,30436,19950
19951,JP1-KTP-PNY-007,8110140426,FALSE,30445,19951
19952,JP1-KTP-PNY-006,8110140429,FALSE,30444,19952
19952,JP1-KTP-PNY-004,8110140424,FALSE,30442,19952
19952,JP1-KTP-PNY-001,8110140425,FALSE,30439,19952
19952,JP1-KTP-PNY-005,8110140428,FALSE,30443,19952
19952,JP1-KTP-PNY-002,8110140423,FALSE,30440,19952
19953,JP1-KTP-SNG-003,8110140437,FALSE,30447,19953
19953,JP1-KTP-SNG-001,8110140438,FALSE,30446,19953
19958,JP1-KTP-KLY-001,8110140113,FALSE,30454,19958
19960,JP1-KTP-KLY-003,8110140118,FALSE,30457,19960
19961,JP1-KTP-CHO-001,8110140117,FALSE,30456,19961
19959,JP1-KTP-KLY-002,8110140125,FALSE,30455,19959
19962,JP1-KTP-KRB-003,8110140809,FALSE,30459,19962
19962,JP1-KTP-KRB-002,8110140808,FALSE,30462,19962
19962,JP1-KTP-KRB-005,8110140817,FALSE,30463,19962
19962,JP1-KTP-KRB-001,8110140807,FALSE,30461,19962
19974,JP1-KTP-SRN-007,8110140516,FALSE,30499,19974
19973,JP1-KTP-SRN-005,8110140513,FALSE,30495,19973
19974,JP1-KTP-SRN-006,8110140512,FALSE,30493,19974
19968,JP1-KTP-KNS-001,8110140506,FALSE,30479,19968
19967,JP1-KTP-KNS-004,8110140504,FALSE,30480,19967
19968,JP1-KTP-KNS-006,8110140502,FALSE,30482,19968
19967,JP1-KTP-KNS-003,8110140503,FALSE,30478,19967
19968,JP1-KTP-KNS-007,8110140501,FALSE,30481,19968
19971,JP1-KTP-MHN-001,8110140508,FALSE,30485,19971
24512,JP1-KTP-MHN-002,8110140509,FALSE,29740,19480
19970,JP1-KTP-MHN-003,8110140527,FALSE,30484,19970
20939,JP1-KTP-NAR-006,8110140806,FALSE,30487,19972
20939,JP1-KTP-NAR-001,8110140801,FALSE,30490,19972
20939,JP1-KTP-NAR-005,8110140805,FALSE,30488,19972
20939,JP1-KTP-NAR-004,8110140804,FALSE,30489,19972
20939,JP1-KTP-NAR-003,8110140803,FALSE,30486,19972
20939,JP1-KTP-NAR-002,8010140802,FALSE,30491,19972
19975,JP1-KTP-SRN-003,8110140517,FALSE,30494,19975
19975,JP1-KTP-SRN-004,8110140515,FALSE,30498,19975
19975,JP1-KTP-SRN-002,8110140511,FALSE,30492,19975
19975,JP1-KTP-SRN-001,8110140510,FALSE,30497,19975
19978,JP1-KTP-BHS-006,8110220528,FALSE,30503,19978
